"","FeatureName","FeatureType","DateCode","Waste.Management","Tonnes"
"210","Midlothian","Council Area",2017,"Landfilled",18856.7
"211","Moray","Council Area",2017,"Landfilled",21572.9
"212","Na h-Eileanan Siar","Council Area",2017,"Landfilled",9353.1
"213","North Ayrshire","Council Area",2017,"Landfilled",26052
"214","North Lanarkshire","Council Area",2017,"Landfilled",87011.1
"215","Orkney Islands","Council Area",2017,"Landfilled",3324.7
"216","Perth and Kinross","Council Area",2017,"Landfilled",28495.6
"217","Renfrewshire","Council Area",2017,"Landfilled",23641
"218","Scottish Borders","Council Area",2017,"Landfilled",30592.5
"219","Shetland Islands","Council Area",2017,"Landfilled",2177.7
"220","South Ayrshire","Council Area",2017,"Landfilled",20128.4
"221","South Lanarkshire","Council Area",2017,"Landfilled",79987.2
"222","Stirling","Council Area",2017,"Landfilled",12117
"223","West Dunbartonshire","Council Area",2017,"Landfilled",19162
"224","West Lothian","Council Area",2017,"Landfilled",20806.3
"225","Aberdeen City","Council Area",2018,"Landfilled",17618.5
"226","Aberdeenshire","Council Area",2018,"Landfilled",65436.6
"227","Angus","Council Area",2018,"Landfilled",2383.1
"228","Argyll and Bute","Council Area",2018,"Landfilled",22097.6
"229","City of Edinburgh","Council Area",2018,"Landfilled",100701.2
"230","Clackmannanshire","Council Area",2018,"Landfilled",10924.2
"231","Dumfries and Galloway","Council Area",2018,"Landfilled",35063.5
"232","Dundee City","Council Area",2018,"Landfilled",4339.7
"233","East Ayrshire","Council Area",2018,"Landfilled",20647.4
"234","East Dunbartonshire","Council Area",2018,"Landfilled",13431.4
"235","East Lothian","Council Area",2018,"Landfilled",21524
"236","East Renfrewshire","Council Area",2018,"Landfilled",13753.3
"237","Falkirk","Council Area",2018,"Landfilled",30595.3
"238","Fife","Council Area",2018,"Landfilled",71322
"239","Glasgow City","Council Area",2018,"Landfilled",167502.2
"240","Highland","Council Area",2018,"Landfilled",66029.4
"241","Inverclyde","Council Area",2018,"Landfilled",10613.5
"242","Midlothian","Council Area",2018,"Landfilled",12327.2
"243","Moray","Council Area",2018,"Landfilled",20266
"244","Na h-Eileanan Siar","Council Area",2018,"Landfilled",9264.6
"245","North Ayrshire","Council Area",2018,"Landfilled",21096.3
"246","North Lanarkshire","Council Area",2018,"Landfilled",62326.2
"247","Orkney Islands","Council Area",2018,"Landfilled",2650.2
"248","Perth and Kinross","Council Area",2018,"Landfilled",30649.5
"249","Renfrewshire","Council Area",2018,"Landfilled",17009.8
"250","Scottish Borders","Council Area",2018,"Landfilled",30670.6
"251","Shetland Islands","Council Area",2018,"Landfilled",2155.6
"252","South Ayrshire","Council Area",2018,"Landfilled",19984.1
"253","South Lanarkshire","Council Area",2018,"Landfilled",72532.8
"254","Stirling","Council Area",2018,"Landfilled",18803.6
"255","West Dunbartonshire","Council Area",2018,"Landfilled",19624.4
"256","West Lothian","Council Area",2018,"Landfilled",18123.7
"257","Aberdeen City","Council Area",2019,"Landfilled",15005.4
"258","Aberdeenshire","Council Area",2019,"Landfilled",66195.3
"259","Angus","Council Area",2019,"Landfilled",2701.8
"260","Argyll and Bute","Council Area",2019,"Landfilled",21825.2
"261","City of Edinburgh","Council Area",2019,"Landfilled",8586.8
"262","Clackmannanshire","Council Area",2019,"Landfilled",11341.6
"263","Dumfries and Galloway","Council Area",2019,"Landfilled",19647.2
"264","Dundee City","Council Area",2019,"Landfilled",4520.7
"265","East Ayrshire","Council Area",2019,"Landfilled",21091.6
"266","East Dunbartonshire","Council Area",2019,"Landfilled",10289.5
"267","East Lothian","Council Area",2019,"Landfilled",7671.9
"268","East Renfrewshire","Council Area",2019,"Landfilled",14561.1
"269","Falkirk","Council Area",2019,"Landfilled",30664.8
"270","Fife","Council Area",2019,"Landfilled",78275
"271","Glasgow City","Council Area",2019,"Landfilled",123466.4
"272","Highland","Council Area",2019,"Landfilled",63856.6
"273","Inverclyde","Council Area",2019,"Landfilled",10983.6
"274","Midlothian","Council Area",2019,"Landfilled",4366.7
"275","Moray","Council Area",2019,"Landfilled",19357.3
"276","Na h-Eileanan Siar","Council Area",2019,"Landfilled",9000.6
"277","North Ayrshire","Council Area",2019,"Landfilled",16306.7
"278","North Lanarkshire","Council Area",2019,"Landfilled",31751.5
"279","Orkney Islands","Council Area",2019,"Landfilled",2675.8
