FeatureCode,city,FeatureType,date,births,deaths,rate
S12000020,Moray,Council Area,2020,855,10,11.69590643
S12000013,Na h-Eileanan Siar,Council Area,2020,183,4,21.8579235
S12000021,North Ayrshire,Council Area,2020,"1,107",10,9.033423668
S12000050,North Lanarkshire,Council Area,2020,"3,051",51,16.71583088
S12000023,Orkney Islands,Council Area,2020,183,0,0
S12000048,Perth and Kinross,Council Area,2020,"1,186",12,10.11804384
S12000038,Renfrewshire,Council Area,2020,"1,539",20,12.99545159
S12000026,Scottish Borders,Council Area,2020,845,11,13.01775148
S12000027,Shetland Islands,Council Area,2020,176,0,0
S12000028,South Ayrshire,Council Area,2020,817,11,13.46389229
S12000029,South Lanarkshire,Council Area,2020,"2,918",52,17.82042495
S12000030,Stirling,Council Area,2020,696,7,10.05747126
S12000039,West Dunbartonshire,Council Area,2020,771,8,10.37613489
S12000040,West Lothian,Council Area,2020,"1,663",15,9.019843656
